time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.654368	0.602853	4.4299	-1.50053e-017	2.03993e-018	radar	150.341	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.989338	0.583889	4.43988	-0.0392849	-0.00309164	lidar	0.488118	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.1088	0.45224	4.58072	0.185095	0.0436867	radar	1.58778	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.39609	0.52608	4.59496	0.189123	0.0434612	lidar	0.639726	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.65044	0.51515	5.09997	0.105303	0.0706464	radar	2.6358	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.94183	0.555109	5.11601	0.10284	0.0700968	lidar	0.540798	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.14491	0.59744	5.09262	0.152963	0.120097	radar	0.559977	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.42219	0.640895	5.10629	0.152583	0.116304	lidar	0.409593	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.73142	0.636882	5.18785	0.0942164	0.0089782	radar	0.981921	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.99004	0.660019	5.18906	0.0929408	0.0054079	lidar	0.00724536	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.31502	0.559516	5.25566	-0.0508377	-0.328154	radar	3.23013	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.59815	0.530813	5.27086	-0.085388	-0.366479	lidar	0.965437	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.90488	0.594966	5.35048	-0.0133078	-0.120276	radar	2.39405	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.17989	0.589565	5.35666	-0.0213613	-0.12263	lidar	0.120467	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.45195	0.620688	5.3163	0.00161213	-0.0592324	radar	0.730721	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.69368	0.645005	5.29492	0.0211364	-0.0167321	lidar	1.30458	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.95806	0.640442	5.2022	0.00822309	-0.0388669	radar	2.12967	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.23389	0.641908	5.21467	0.00498489	-0.0389172	lidar	0.574344	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.48333	0.656092	5.2659	0.0153542	-0.0189514	radar	1.37753	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.76006	0.663905	5.27653	0.0164844	-0.0139971	lidar	0.497571	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.00019	0.548696	5.19848	-0.062541	-0.139663	radar	2.64654	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.26166	0.576645	5.19514	-0.0414711	-0.0966978	lidar	1.08075	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.51685	0.657522	5.15043	0.00768949	-0.018638	radar	1.41974	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.77369	0.665416	5.14984	0.0102746	-0.0137135	lidar	0.0182428	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.02461	0.647971	5.04497	-0.00261623	-0.0295654	radar	2.6667	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
